id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
1,"PC1 cannot ping PC2 in same VLAN","Two PCs on SW1 VLAN 10; trunk to SW2","show vlan brief: PC1 port Fa0/1 in VLAN 1; PC2 port Fa0/2 in VLAN 10","PC1 assigned to wrong VLAN (VLAN 1 instead of VLAN 10)","Layer 2","VLAN","Medium"
2,"PC gets IP but cannot reach server in VLAN 30","Router-on-a-stick with sub-interfaces; server in VLAN 30","show ip route: no route for 192.168.30.0; show interfaces Fa0/0.30: down/down","Sub-interface Fa0/0.30 not configured or encapsulation missing","Layer 3","Inter-VLAN Routing","High"
3,"DHCP clients not getting IP address","DHCP server on Router R1; clients on VLAN 20","show ip dhcp pool: no pool defined; show running-config: no ip dhcp pool","DHCP pool not configured on router","Layer 3","DHCP","High"
4,"PC can ping gateway but not reach internet","NAT configured on R1; ISP link on Fa0/1","show ip nat translations: empty; show run: no ip nat inside on Fa0/0","NAT inside interface not defined","Layer 3","NAT","High"
5,"DNS resolution failing but IP connectivity works","DNS server at 8.8.8.8; PC configured with wrong DNS","show run on PC: dns-server 192.168.1.254 (wrong)","DNS server IP misconfigured on client","Layer 7","DNS","Medium"
6,"Inter-VLAN traffic blocked between VLAN 10 and VLAN 20","ACL applied on R1 inter-VLAN interface","show access-lists: ACL 100 blocking 192.168.10.0 to 192.168.20.0","Extended ACL blocking inter-VLAN traffic","Layer 4","ACL","High"
7,"Trunk link not passing VLAN 40 traffic","SW1-SW2 trunk; VLAN 40 hosts exist on SW2","show interfaces trunk: allowed VLANs 1-39,41-4094 (VLAN 40 missing)","VLAN 40 pruned from trunk","Layer 2","Trunking","Medium"
8,"PC obtains APIPA address (169.254.x.x)","DHCP server on remote segment; helper not set","show ip helper-address on Fa0/0: not configured","ip helper-address not configured for DHCP relay","Layer 3","DHCP Relay","High"
9,"Router shows route but ping fails across WAN","Serial link between R1 and R2","show interfaces Se0/0: encapsulation HDLC on R1; show interfaces Se0/0 R2: encapsulation PPP","Encapsulation mismatch on serial link","Layer 2","WAN Encapsulation","High"
10,"Guest WiFi can reach internal server","Wireless AP with guest VLAN; ACL missing","show access-lists: no ACL on guest VLAN interface; show vlan: guest in same broadcast domain","Guest VLAN isolation failure - missing ACL","Layer 2/3","Wireless Security","Critical"
